index,title,url,press,date,keyword,content,Scraped_date
0,"""삼성SDS, 내년 클라우드 성장 원년될 것""-대신",https://www.hankyung.com/article/2023121451516,한국경제,5시간 전,삼성 SDS 투자,"대신증권은 삼성에스디에스(삼성SDS)에 대해 내년 클라우드 성장의 원년이 될 것이라며 투자의견 '매수', 목표주가 21만원을 제시했다. 이지은 대신증권 연구원은 14일 ""삼성SDS는 내년 1분기 생성형 인공지능(AI) 서비스인 브리티 코파일럿 일부와 패브릭스를 출시할 예정""이라며 ""생성형 AI 서비스들이...",2023-12-14
1,"삼성SDS, AI 앞세워 다시 쓰는 연고점",https://view.asiae.co.kr/article/2023121116265159105,아시아경제,1일 전,삼성 SDS 투자,13일 금융투자업계에 따르면 삼성SDS 주가는 올해 들어 38.7%가량 올랐다. 같은 기간 코스피는 13.4% 상승했다. 2021년 9월 이후 2년3개월 만에 17만원선을 회복했다. 11일 장중 한때 17만3300원을 기록하면서 연중 최고치를 경신했다. 기관 자가 최근 1개월 동안 1095억원 순매수를 기록하며 주가 상승을...,2023-12-14
2,"국내 기업들, 정보보호에 1.8조 투자…삼성전자·KT·쿠팡 순",http://news.tf.co.kr/read/economy/2060759.htm,더팩트언론사 선정,4일 전,삼성 SDS 투자,"IT분야 제조업인 삼성전자는 올해 정보보호 관련 투자만 2435억 원을 집행했으며, 904.2명이 정보보호에 전담하면서 전담인력이 가장 많은 기업에도 이름을 올렸다. 이 외에도 KT(1035억 원), 쿠팡(639억 원), SK하이닉스(590억 원), SK텔레콤(550억 원), 국민은행(542억 원), (530억 원), LG전자(457억 원)...",2023-12-14
3,"NH證 ""삼성SDS, 내년 초 생성형 AI 출시 기대…목표가↑""",http://www.newsis.com/view/?id=NISX20231207_0002549094&cID=10403&pID=15000,뉴시스,7일 전,삼성 SDS 투자,"NH투자증권은 7일 삼성SDS에 대해 ""정보기술(IT) 투자 축소, 물동량과 운임 약세 등 어려운 업황에도 클라우드 고성장을 통한 외형 성장과 수익성 개선, 디지털 포워딩 서비스 적용 확대로 대응하고 있다""며 ""내년 초 기업형 생성형 인공지능(AI) 서비스 출시 등 IT서비스, 물류사업 고도화가 기대된다""고...",2023-12-14
4,"[특징주]컴퍼니케이, 삼성 협업 ‘솔라’ 美 ‘오픈AI’ 꺾고 전세계 시장 1위 넘본다…초기투자社 강세",https://www.dnews.co.kr/uhtml/view.jsp?idxno=202312141322132440776,대한경제,10분 전,삼성 SDS 투자,"업스테이지는 AI시스템을 삼성생명 및 삼성SDS에 공급하는 업체로, 세계 최대 AI 플랫폼 허깅페이스가 운영하는 ‘오픈 LLM 리더보드’에서 세계 1위를 차지한 사전학습 LLM 'SOLAR(솔라)'를 공개했다고 14일 밝혔다. 이에 업계에서는 ‘솔라’의 전 세계 시장 점유율 1위를 관망하고 있는데, 초기 를...",2023-12-14
5,"SK證 ""삼성SDS, IT서비스 매출 증가 전망…목표가 ↑""",https://www.sedaily.com/NewsView/29YF47UUGY,서울경제,7일 전,삼성 SDS 투자,"전날 삼성SDS는 1.21% 내린 16만 3800원에 거래를 마쳤다. 삼성SDS의 올해 4분기 매출과 영업이익은 각각 3조 5159억 원, 2026억 원으로 시장 컨센서스에... IT 투자가 점진적으로 늘어날 것으로 보이는 점도 긍정적”이라고 분석했다. 내년 1분기에는 생성형 인공지능(AI) 서비스 출시가 예상돼 IT 서비스...",2023-12-14
6,"삼성SDS, 클라우드 고성장·생성형 AI 출시…실적 모멘텀 강화",https://www.etoday.co.kr/news/view/2309508,이투데이,7일 전,삼성 SDS 투자,"김동양 NH투자증권 연구원은 “삼성SDS는 IT 투자 축소, 물동량 및 운임 약세 등 어려운 업황에도 클라우드 고성장 통한 외형 성장과 수익성 개선, 디지털 포워딩 서비스 적용 확대로 대응했다”며 “2024년 초 기업형 생성형 AI 서비스 출시 등 IT서비스 및 물류사업 고도화 기대된다”고 밝혔다....",2023-12-14
7,"국내 기업, 정보보호 투자액 늘렸다",https://www.incheonilbo.com/news/articleView.html?idxno=1224958,인천일보,2일 전,삼성 SDS 투자,"정보보호 투자액 상위 10대 기업은 삼성전자, KT, 쿠팡, SK하이닉스, SK텔레콤, 국민은행, 삼성SDS, LG전자, LG유플러스, 네이버 순이다. 업종별 1위 기업은 제조업의 경우 삼성전자(2435억원·904.2명), 정보통신업은 KT(1035억원·303.8명), 도매 및 소매업은 쿠팡(639억원·167.7명) 등이다. 또 금융·보험업은...",2023-12-14
8,"[더벨]박경정 전 삼성SDS CFO, H&S하이텍 이사회 합류",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202312081543592880105090,더벨,1일 전,삼성 SDS 투자,"박경정 전 삼성SDS 부사장이 코넥스 상장사인 H&S하이텍 이사회에 합류한다. 박 부사장은 사외이사로서 경영진 견제와 함께 회사에 필요한 재무·회계... 이처럼 준수한 실적과 수익성, 투자자들의 높은 관심도에 비해 이사회 구성은 아쉽다는 평가를 받는다. 일단 현재 사내이사가 3명, 사외이사 2명으로...",2023-12-14
9,"황성우 삼성SDS 사장, 연임성공했지만…'클라우드·AI 경쟁' 산 넘어 산[어바웃 C]",https://www.bloter.net/news/articleView.html?idxno=608852,블로터언론사 선정,2주 전,삼성 SDS 투자,"하지만 오랫동안 삼성SDS에 투자한 주주들을 만족시킬 수준이 아니라는 것은 황 사장도 잘 알고 있다. 한편, 삼성SDS는 이날 부사장 2명, 상무 7명 등 총 9명 규모의 2024년 정기 임원 인사를 단행했다. 김대우 솔루션사업부 솔루션개발실장(상무)과 오영석 통합보안센터장(상무)이 부사장으로 승진했으며...",2023-12-14
