,title,url,press,date
0,"‘닥공 투자’ K-배터리, 올해 美 IRA 보조금만 1.2조원",http://www.edaily.co.kr/news/newspath.asp?newsid=01180806635807688,이데일리언론사 선정,1일 전
1,"尹 대통령에 투자 약속한 GM, 친환경차 생산 검토",https://biz.chosun.com/industry/car/2023/11/20/DMYA6D6AMZABBJK2ZTEAJRXMKI/?utm_source=naver&utm_medium=original&utm_campaign=biz,조선비즈언론사 선정,15시간 전
2,“K배터리 생존하려면 이거 꼭 필요합니다”…SK온 부사장이 국회로 간 이유,https://www.mk.co.kr/article/10878376,매일경제언론사 선정,1일 전
3,'사용후 배터리' 돈 된다…거래시장 조성·여권제 논의,https://news.tvchosun.com/site/data/html_dir/2023/11/14/2023111490198.html,TV조선언론사 선정,6일 전
4,"하이투자證 ""LG엔솔, 내실 다지는 중…목표주가 9% 상향""",https://www.news1.kr/articles/5237228,뉴스1,1시간 전
5,"백악관 ""바이든정부 출범 이후 한국의 對美투자 최소 72조원""",https://www.yna.co.kr/view/AKR20231117081300071?input=1195m,연합뉴스언론사 선정,3일 전
6,‘배터리아저씨’가 저격한 한미반도체…올해 455% 뛰었다 [이코노 株인공],https://economist.co.kr/article/view/ecn202311170043,이코노미스트언론사 선정,1일 전
7,"전기차 수요 부진…SK온, 미 배터리공장 직원 일부 휴직 돌입",https://www.hankyung.com/article/202311146018g,한국경제언론사 선정,6일 전
8,“배터리 전시상황…LCD꼴 난다” 美IRA처럼 세액공제 현금 환급 한목소리,https://view.asiae.co.kr/article/2023111419512887762,아시아경제언론사 선정,6일 전
9,파나소닉 “배터리 집중” 매출 11조 자회사 판다,https://www.chosun.com/economy/auto/2023/11/21/ACTOGI6TIZBF7MW7EY7U5OYUL4/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,조선일보,6시간 전
10,"‘닥공 투자’ K-배터리, 올해 美 IRA 보조금만 1.2조원",http://www.edaily.co.kr/news/newspath.asp?newsid=01180806635807688,이데일리언론사 선정,1일 전
11,"尹 대통령에 투자 약속한 GM, 친환경차 생산 검토",https://biz.chosun.com/industry/car/2023/11/20/DMYA6D6AMZABBJK2ZTEAJRXMKI/?utm_source=naver&utm_medium=original&utm_campaign=biz,조선비즈언론사 선정,15시간 전
12,“K배터리 생존하려면 이거 꼭 필요합니다”…SK온 부사장이 국회로 간 이유,https://www.mk.co.kr/article/10878376,매일경제언론사 선정,1일 전
13,'사용후 배터리' 돈 된다…거래시장 조성·여권제 논의,https://news.tvchosun.com/site/data/html_dir/2023/11/14/2023111490198.html,TV조선언론사 선정,6일 전
14,"하이투자證 ""LG엔솔, 내실 다지는 중…목표주가 9% 상향""",https://www.news1.kr/articles/5237228,뉴스1,1시간 전
15,"백악관 ""바이든정부 출범 이후 한국의 對美투자 최소 72조원""",https://www.yna.co.kr/view/AKR20231117081300071?input=1195m,연합뉴스언론사 선정,3일 전
16,‘배터리아저씨’가 저격한 한미반도체…올해 455% 뛰었다 [이코노 株인공],https://economist.co.kr/article/view/ecn202311170043,이코노미스트언론사 선정,1일 전
17,"전기차 수요 부진…SK온, 미 배터리공장 직원 일부 휴직 돌입",https://www.hankyung.com/article/202311146018g,한국경제언론사 선정,6일 전
18,“배터리 전시상황…LCD꼴 난다” 美IRA처럼 세액공제 현금 환급 한목소리,https://view.asiae.co.kr/article/2023111419512887762,아시아경제언론사 선정,6일 전
